country,date,gdp,population,inflation,poverty,unemployment,life_expectancy,literacy,gdp_per_capita,population_millions,gdp_billions,high_unemployment,high_inflation,development_score
Botswana,1970-01-01 00:00:00.000001960,30411413.6552828,516165.0,8.64192508436626,33.9,19.688342857142857,51.22,74.88500213623044,58.918008108420366,0.516165,0.0304114136552828,True,False,4.451246362956671
Botswana,1970-01-01 00:00:00.000001961,32902612.8664855,527942.0,8.64192508436626,33.9,19.688342857142857,51.781,74.88500213623044,62.32240069266226,0.527942,0.0329026128664855,True,False,4.471048505356392
Botswana,1970-01-01 00:00:00.000001962,35644956.6430429,540186.0,8.64192508436626,33.9,19.688342857142857,52.313,74.88500213623044,65.98645030238269,0.540186,0.0356449566430429,True,False,4.489827007596412
Botswana,1970-01-01 00:00:00.000001963,38091842.8546863,552966.0,8.64192508436626,33.9,19.688342857142857,52.848,74.88500213623044,68.88641047494113,0.552966,0.038091842854686295,True,False,4.508711403646056
Botswana,1970-01-01 00:00:00.000001964,41616347.7906865,566266.0,8.64192508436626,33.9,19.688342857142857,53.358,74.88500213623044,73.49257732353082,0.566266,0.0416163477906865,True,False,4.526713351282166
Botswana,1970-01-01 00:00:00.000001965,45788696.3343915,574664.0,8.64192508436626,33.9,19.688342857142857,53.853,74.88500213623044,79.67907565880496,0.574664,0.0457886963343915,True,False,4.5441858298701545
Botswana,1970-01-01 00:00:00.000001966,51465655.3921083,577866.0,8.64192508436626,33.9,19.688342857142857,54.36,74.88500213623044,89.06157377680691,0.577866,0.051465655392108296,True,False,4.5620818836966395
Botswana,1970-01-01 00:00:00.000001967,58642354.089673,580933.0,8.64192508436626,33.9,19.688342857142857,54.859,74.88500213623044,100.94512463515241,0.580933,0.058642354089673,True,False,4.579695554030795
Botswana,1970-01-01 00:00:00.000001968,66248441.4182466,583966.0,8.64192508436626,33.9,19.688342857142857,55.372,74.88500213623044,113.44571673393074,0.583966,0.0662484414182466,True,False,4.597803395476527
Botswana,1970-01-01 00:00:00.000001969,77361546.5067537,587066.0,8.64192508436626,33.9,19.688342857142857,55.903,74.88500213623044,131.77657453634464,0.587066,0.0773615465067537,True,False,4.616546599780007
Botswana,1970-01-01 00:00:00.000001970,96243233.6609837,590334.0,8.64192508436626,33.9,19.688342857142857,56.446,74.88500213623044,163.0318322525616,0.590334,0.0962432336609837,True,False,4.635713379321982
Botswana,1970-01-01 00:00:00.000001971,127448613.505061,600481.0,8.64192508436626,33.9,19.688342857142857,57.062,74.88500213623044,212.24420673603495,0.600481,0.127448613505061,True,False,4.657456908231478
Botswana,1970-01-01 00:00:00.000001972,164460914.977201,622407.0,8.64192508436626,33.9,19.688342857142857,57.669,74.88500213623044,264.2337168078139,0.622407,0.16446091497720103,True,False,4.678882755712104
Botswana,1970-01-01 00:00:00.000001973,244124164.042218,652408.0,8.64192508436626,33.9,19.688342857142857,58.286,74.88500213623044,374.1894091461447,0.652408,0.244124164042218,True,False,4.700661582558142
Botswana,1970-01-01 00:00:00.000001974,306044207.530203,685448.0,8.64192508436626,33.9,19.688342857142857,58.914,74.88500213623044,446.48785543207214,0.685448,0.306044207530203,True,False,4.722828686706136
Botswana,1970-01-01 00:00:00.000001975,355168571.536751,720380.0,11.9747550240953,33.9,19.688342857142857,59.53,74.88500213623044,493.0294726904564,0.72038,0.35516857153675097,True,True,4.245162701400658
Botswana,1970-01-01 00:00:00.000001976,372025093.006273,758508.0,11.732423613642,33.9,19.688342857142857,60.209,74.88500213623044,490.46957053356454,0.758508,0.37202509300627296,True,True,4.29951326177359
Botswana,1970-01-01 00:00:00.000001977,451624780.274597,799574.0,13.1687242801079,33.9,19.688342857142857,60.867,74.88500213623044,564.8317482491889,0.799574,0.451624780274597,True,True,4.131592195041824
Botswana,1970-01-01 00:00:00.000001978,590407374.447116,849239.0,9.04398827010362,33.9,19.688342857142857,61.485,74.88500213623044,695.2193368970526,0.849239,0.590407374447116,True,False,4.746221304922685
Botswana,1970-01-01 00:00:00.000001979,819870258.783053,901742.0,11.7362306367885,33.9,19.688342857142857,62.035,74.88500213623044,909.2071332854109,0.901742,0.8198702587830531,True,True,4.357099776156775
Botswana,1970-01-01 00:00:00.000001980,1060889703.75374,937485.0,13.6324251470895,33.9,19.688342857142857,62.527,74.88500213623044,1131.6337901446316,0.937485,1.06088970375374,True,True,4.123914614416348
Botswana,1970-01-01 00:00:00.000001981,1073812830.30052,969996.0,16.4280267725712,33.9,19.688342857142857,63.027,74.88500213623044,1107.0281014566244,0.969996,1.0738128303005199,True,True,3.818545539050137
Botswana,1970-01-01 00:00:00.000001982,1014945695.71927,1009269.0,11.1372064274689,33.9,19.688342857142857,63.382,74.88500213623044,1005.6245616572687,1.009269,1.01494569571927,True,False,4.485467585982447
Botswana,1970-01-01 00:00:00.000001983,1172230396.58099,1046137.0,10.4771438105237,33.9,19.688342857142857,63.605,74.88500213623044,1120.5323935402248,1.046137,1.1722303965809902,True,False,4.591008381929191
