country,date,gdp,population,inflation,poverty,unemployment,life_expectancy,literacy
Botswana,1970-01-01 00:00:00.000001960,30411413.6552828,516165.0,8.64192508436626,33.9,19.688342857142857,51.22,74.88500213623044
Botswana,1970-01-01 00:00:00.000001961,32902612.8664855,527942.0,8.64192508436626,33.9,19.688342857142857,51.781,74.88500213623044
Botswana,1970-01-01 00:00:00.000001962,35644956.6430429,540186.0,8.64192508436626,33.9,19.688342857142857,52.313,74.88500213623044
Botswana,1970-01-01 00:00:00.000001963,38091842.8546863,552966.0,8.64192508436626,33.9,19.688342857142857,52.848,74.88500213623044
Botswana,1970-01-01 00:00:00.000001964,41616347.7906865,566266.0,8.64192508436626,33.9,19.688342857142857,53.358,74.88500213623044
Botswana,1970-01-01 00:00:00.000001965,45788696.3343915,574664.0,8.64192508436626,33.9,19.688342857142857,53.853,74.88500213623044
Botswana,1970-01-01 00:00:00.000001966,51465655.3921083,577866.0,8.64192508436626,33.9,19.688342857142857,54.36,74.88500213623044
Botswana,1970-01-01 00:00:00.000001967,58642354.089673,580933.0,8.64192508436626,33.9,19.688342857142857,54.859,74.88500213623044
Botswana,1970-01-01 00:00:00.000001968,66248441.4182466,583966.0,8.64192508436626,33.9,19.688342857142857,55.372,74.88500213623044
Botswana,1970-01-01 00:00:00.000001969,77361546.5067537,587066.0,8.64192508436626,33.9,19.688342857142857,55.903,74.88500213623044
Botswana,1970-01-01 00:00:00.000001970,96243233.6609837,590334.0,8.64192508436626,33.9,19.688342857142857,56.446,74.88500213623044
Botswana,1970-01-01 00:00:00.000001971,127448613.505061,600481.0,8.64192508436626,33.9,19.688342857142857,57.062,74.88500213623044
Botswana,1970-01-01 00:00:00.000001972,164460914.977201,622407.0,8.64192508436626,33.9,19.688342857142857,57.669,74.88500213623044
Botswana,1970-01-01 00:00:00.000001973,244124164.042218,652408.0,8.64192508436626,33.9,19.688342857142857,58.286,74.88500213623044
Botswana,1970-01-01 00:00:00.000001974,306044207.530203,685448.0,8.64192508436626,33.9,19.688342857142857,58.914,74.88500213623044
Botswana,1970-01-01 00:00:00.000001975,355168571.536751,720380.0,11.9747550240953,33.9,19.688342857142857,59.53,74.88500213623044
Botswana,1970-01-01 00:00:00.000001976,372025093.006273,758508.0,11.732423613642,33.9,19.688342857142857,60.209,74.88500213623044
Botswana,1970-01-01 00:00:00.000001977,451624780.274597,799574.0,13.1687242801079,33.9,19.688342857142857,60.867,74.88500213623044
Botswana,1970-01-01 00:00:00.000001978,590407374.447116,849239.0,9.04398827010362,33.9,19.688342857142857,61.485,74.88500213623044
Botswana,1970-01-01 00:00:00.000001979,819870258.783053,901742.0,11.7362306367885,33.9,19.688342857142857,62.035,74.88500213623044
Botswana,1970-01-01 00:00:00.000001980,1060889703.75374,937485.0,13.6324251470895,33.9,19.688342857142857,62.527,74.88500213623044
Botswana,1970-01-01 00:00:00.000001981,1073812830.30052,969996.0,16.4280267725712,33.9,19.688342857142857,63.027,74.88500213623044
Botswana,1970-01-01 00:00:00.000001982,1014945695.71927,1009269.0,11.1372064274689,33.9,19.688342857142857,63.382,74.88500213623044
Botswana,1970-01-01 00:00:00.000001983,1172230396.58099,1046137.0,10.4771438105237,33.9,19.688342857142857,63.605,74.88500213623044
Botswana,1970-01-01 00:00:00.000001984,1240822167.43571,1083660.0,8.57746904251906,33.9,19.688342857142857,63.706,74.88500213623044
Botswana,1970-01-01 00:00:00.000001985,1114783342.71539,1121945.0,8.09457579975941,50.1,19.688342857142857,63.647,74.88500213623044
Botswana,1970-01-01 00:00:00.000001986,1392602163.53829,1160650.0,10.0017155606022,33.9,19.688342857142857,63.363,74.88500213623044
Botswana,1970-01-01 00:00:00.000001987,1965226890.04557,1199167.0,9.80193387398675,33.9,19.688342857142857,62.837,74.88500213623044
Botswana,1970-01-01 00:00:00.000001988,2644554158.72794,1235476.0,8.35167956821219,33.9,19.688342857142857,61.696,74.88500213623044
Botswana,1970-01-01 00:00:00.000001989,3083822112.02023,1270274.0,11.5750147473285,33.9,19.688342857142857,61.189,74.88500213623044
Botswana,1970-01-01 00:00:00.000001990,3790636324.44775,1305696.0,11.3963461199556,33.9,19.688342857142857,60.104,74.88500213623044
Botswana,1970-01-01 00:00:00.000001991,3942876703.45184,1341756.0,11.7650160839535,33.9,13.82,58.911,68.5800018310547
Botswana,1970-01-01 00:00:00.000001992,4146464586.61674,1380033.0,16.1676123963339,33.9,16.33,58.19,74.88500213623044
Botswana,1970-01-01 00:00:00.000001993,4160129174.70569,1420115.0,14.3308033365888,42.1,18.761,57.316,74.88500213623044
Botswana,1970-01-01 00:00:00.000001994,4259259604.15623,1460023.0,10.5429209938218,33.9,21.2,55.97,74.88500213623044
Botswana,1970-01-01 00:00:00.000001995,4730599121.92704,1498836.0,10.512546081579,33.9,21.394,54.713,74.88500213623044
Botswana,1970-01-01 00:00:00.000001996,4847757217.75815,1535914.0,10.0828580652108,33.9,21.593,54.284,74.88500213623044
Botswana,1970-01-01 00:00:00.000001997,5020265626.66489,1571691.0,8.71993127147747,33.9,21.031,53.594,74.88500213623044
Botswana,1970-01-01 00:00:00.000001998,4790481509.17679,1606899.0,6.66139865665752,33.9,20.86,52.968,74.88500213623044
Botswana,1970-01-01 00:00:00.000001999,5484263346.88105,1641997.0,7.74929619202848,33.9,18.224,52.499,74.88500213623044
Botswana,1970-01-01 00:00:00.000002000,5788329609.15755,1677382.0,8.60148514851491,33.9,15.88,52.263,74.88500213623044
Botswana,1970-01-01 00:00:00.000002001,5489608299.66445,1712254.0,6.55903767014862,33.9,18.54,52.21,74.88500213623044
Botswana,1970-01-01 00:00:00.000002002,5438863982.88692,1744763.0,8.03279662527486,34.8,21.277,52.373,74.88500213623044
Botswana,1970-01-01 00:00:00.000002003,7511582173.37724,1775736.0,9.18990265632739,33.9,23.8,52.851,81.1900024414062
Botswana,1970-01-01 00:00:00.000002004,8957467706.5354,1807146.0,6.94570363654675,33.9,21.755,53.573,74.88500213623044
Botswana,1970-01-01 00:00:00.000002005,9918907108.09702,1839877.0,8.6102252854644,33.9,19.852,54.386,74.88500213623044
Botswana,1970-01-01 00:00:00.000002006,9919158482.41085,1874516.0,11.5552187914379,33.9,17.782,55.112,74.88500213623044
Botswana,1970-01-01 00:00:00.000002007,10567270655.5027,1911201.0,7.08099847172693,33.9,16.976,56.735,74.88500213623044
Botswana,1970-01-01 00:00:00.000002008,10730829116.4105,1949970.0,12.7021883920076,33.9,16.293,57.661,74.88500213623044
Botswana,1970-01-01 00:00:00.000002009,10118459242.3183,1990673.0,8.02729703109582,21.1,16.169,58.297,74.88500213623044
Botswana,1970-01-01 00:00:00.000002010,12637273429.1339,2033111.0,6.94887658743103,33.9,17.86,59.137,74.88500213623044
Botswana,1970-01-01 00:00:00.000002011,15110643612.1729,2073535.0,8.45987233408583,33.9,18.049,59.715,74.88500213623044
Botswana,1970-01-01 00:00:00.000002012,13907464500.1489,2108617.0,7.53690261091916,33.9,17.916,60.384,74.88500213623044
Botswana,1970-01-01 00:00:00.000002013,14271738933.2042,2140682.0,5.88460707056817,33.9,18.167,61.217,74.88500213623044
Botswana,1970-01-01 00:00:00.000002014,15470088500.7414,2172044.0,4.40225309243427,33.9,18.484,62.167,74.88500213623044
